periodo,fecha_mes,concepto,energia_mwh,energia_gwh
201806,2018-06-01,PERDIDAS,876.0261903366336,0.8760261903366335
201806,2018-06-01,PRODUCCION HIDRAULICA,67034.98754010648,67.03498754010648
201806,2018-06-01,PRODUCCION TERMICA,3945.6361897640227,3.9456361897640226
201806,2018-06-01,VENTA DE ENERGIA,69607.52358061439,69.60752358061438
201806,2018-06-01,VENTA EN COES,15701.5325206144,15.7015325206144
201807,2018-07-01,COMPRA DE ENERGIA,4111.8636101969005,4.111863610196901
201807,2018-07-01,CONSUMOS AUX.,461.6601876705534,0.4616601876705534
201807,2018-07-01,CONTRATOS,55185.96461000002,55.18596461000002
201807,2018-07-01,ENERGIA DISPONIBLE,78457.46154304202,78.45746154304203
201807,2018-07-01,PERDIDAS,916.3148709651432,0.9163148709651432
201807,2018-07-01,PRODUCCION HIDRAULICA,74143.98769379227,74.14398769379227
201807,2018-07-01,PRODUCCION TERMICA,1579.5852976885576,1.5795852976885576
201807,2018-07-01,VENTA DE ENERGIA,78457.46154304201,78.45746154304202
201807,2018-07-01,VENTA EN COES,23271.496933042,23.271496933042
201808,2018-08-01,COMPRA DE ENERGIA,1905.4540713962,1.9054540713962
201808,2018-08-01,CONSUMOS AUX.,319.3497207225099,0.3193497207225099
201808,2018-08-01,CONTRATOS,55209.33846,55.20933846
201808,2018-08-01,ENERGIA DISPONIBLE,75776.31641703959,75.7763164170396
201808,2018-08-01,PERDIDAS,1006.1535060519964,1.0061535060519964
201808,2018-08-01,PRODUCCION HIDRAULICA,73728.60847064464,73.72860847064464
201808,2018-08-01,PRODUCCION TERMICA,1467.7571017732648,1.467757101773265
201808,2018-08-01,VENTA DE ENERGIA,75776.31641703959,75.7763164170396
201808,2018-08-01,VENTA EN COES,20566.9779570396,20.566977957039597
201809,2018-09-01,COMPRA DE ENERGIA,0.0,0.0
201809,2018-09-01,CONSUMOS AUX.,302.3237872255632,0.3023237872255632
201809,2018-09-01,CONTRATOS,53711.6054,53.7116054
201809,2018-09-01,ENERGIA DISPONIBLE,69569.6873310661,69.5696873310661
201809,2018-09-01,PERDIDAS,939.7571848422376,0.9397571848422376
201809,2018-09-01,PRODUCCION HIDRAULICA,70018.54223898628,70.01854223898629
201809,2018-09-01,PRODUCCION TERMICA,793.2260641476178,0.7932260641476178
201809,2018-09-01,VENTA DE ENERGIA,69569.6873310661,69.5696873310661
201809,2018-09-01,VENTA EN COES,15858.0819310661,15.858081931066101
201810,2018-10-01,COMPRA DE ENERGIA,1662.0305691945,1.6620305691945
201810,2018-10-01,CONSUMOS AUX.,311.4507450413822,0.3114507450413822
201810,2018-10-01,CONTRATOS,54892.71757,54.89271757
201810,2018-10-01,ENERGIA DISPONIBLE,80418.9809835528,80.4189809835528
201810,2018-10-01,PERDIDAS,1054.08453297682,1.0540845329768198
201810,2018-10-01,PRODUCCION HIDRAULICA,78763.008259739,78.763008259739
201810,2018-10-01,PRODUCCION TERMICA,1359.4774326375104,1.3594774326375105
201810,2018-10-01,VENTA DE ENERGIA,80418.9809835528,80.4189809835528
201810,2018-10-01,VENTA EN COES,25526.2634135528,25.526263413552797
201811,2018-11-01,COMPRA DE ENERGIA,0.0,0.0
201811,2018-11-01,CONSUMOS AUX.,329.9167600696221,0.3299167600696221
201811,2018-11-01,CONTRATOS,54544.670040000005,54.54467004000001
201811,2018-11-01,ENERGIA DISPONIBLE,81550.26129767671,81.55026129767671
201811,2018-11-01,PERDIDAS,1080.0646935081604,1.0800646935081604
201811,2018-11-01,PRODUCCION HIDRAULICA,74636.3349403163,74.6363349403163
201811,2018-11-01,PRODUCCION TERMICA,8323.9078109382,8.3239078109382
201811,2018-11-01,VENTA DE ENERGIA,81550.26129767671,81.55026129767671
201811,2018-11-01,VENTA EN COES,27005.5912576767,27.005591257676702
201812,2018-12-01,COMPRA DE ENERGIA,0.0,0.0
201812,2018-12-01,CONSUMOS AUX.,321.19503839440415,0.32119503839440416
201812,2018-12-01,CONTRATOS,57502.03559,57.50203559
201812,2018-12-01,ENERGIA DISPONIBLE,89542.7781326087,89.5427781326087
201812,2018-12-01,PERDIDAS,1217.0337656934134,1.2170337656934134
201812,2018-12-01,PRODUCCION HIDRAULICA,78264.53088922404,78.26453088922405
201812,2018-12-01,PRODUCCION TERMICA,12816.47604747248,12.81647604747248
201812,2018-12-01,VENTA DE ENERGIA,89542.7781326087,89.5427781326087
201812,2018-12-01,VENTA EN COES,32040.742542608696,32.0407425426087
201901,2019-01-01,COMPRA DE ENERGIA,0.0,0.0
201901,2019-01-01,CONSUMOS AUX.,288.12783552501514,0.28812783552501514
201901,2019-01-01,CONTRATOS,65203.96486,65.20396486
201901,2019-01-01,ENERGIA DISPONIBLE,83107.49775990708,83.10749775990709
201901,2019-01-01,PERDIDAS,1158.9719178077503,1.1589719178077502
201901,2019-01-01,PRODUCCION HIDRAULICA,74934.1881660913,74.9341881660913
201901,2019-01-01,PRODUCCION TERMICA,9620.409347148548,9.620409347148549
201901,2019-01-01,VENTA DE ENERGIA,83107.4977599071,83.1074977599071
201901,2019-01-01,VENTA EN COES,17903.532899907106,17.903532899907106
201902,2019-02-01,COMPRA DE ENERGIA,0.0,0.0
201902,2019-02-01,CONSUMOS AUX.,292.5777869344505,0.2925777869344505
201902,2019-02-01,CONTRATOS,60790.69144999999,60.79069144999999
201902,2019-02-01,ENERGIA DISPONIBLE,108178.46965307489,108.1784696530749
201902,2019-02-01,PERDIDAS,1116.8605078630499,1.1168605078630498
201902,2019-02-01,PRODUCCION HIDRAULICA,97541.91321699362,97.54191321699362
201902,2019-02-01,PRODUCCION TERMICA,12045.99473087877,12.045994730878771
201902,2019-02-01,VENTA DE ENERGIA,108178.46965307489,108.1784696530749
201902,2019-02-01,VENTA EN COES,47387.7782030749,47.3877782030749
201903,2019-03-01,COMPRA DE ENERGIA,0.0,0.0
201903,2019-03-01,CONSUMOS AUX.,285.9308775265115,0.2859308775265115
201903,2019-03-01,CONTRATOS,65121.62588000001,65.12162588000001
201903,2019-03-01,ENERGIA DISPONIBLE,115757.9606488909,115.7579606488909
201903,2019-03-01,PERDIDAS,1546.8165857095737,1.5468165857095737
201903,2019-03-01,PRODUCCION HIDRAULICA,108165.2353285834,108.16523532858339
201903,2019-03-01,PRODUCCION TERMICA,9425.472783543602,9.425472783543603
201903,2019-03-01,VENTA DE ENERGIA,115757.96064889092,115.75796064889091
201903,2019-03-01,VENTA EN COES,50636.334768890905,50.636334768890904
201904,2019-04-01,COMPRA DE ENERGIA,0.0,0.0
201904,2019-04-01,CONSUMOS AUX.,315.7665702417175,0.3157665702417175
201904,2019-04-01,CONTRATOS,60225.15779999999,60.22515779999999
201904,2019-04-01,ENERGIA DISPONIBLE,88501.27087736448,88.50127087736449
201904,2019-04-01,PERDIDAS,1283.4079974594497,1.2834079974594497
201904,2019-04-01,PRODUCCION HIDRAULICA,90073.52609821327,90.07352609821328
201904,2019-04-01,PRODUCCION TERMICA,26.919346852381846,0.026919346852381846
201904,2019-04-01,VENTA DE ENERGIA,88501.2708773645,88.5012708773645
201904,2019-04-01,VENTA EN COES,28276.113077364505,28.276113077364506
201905,2019-05-01,COMPRA DE ENERGIA,0.0,0.0
201905,2019-05-01,CONSUMOS AUX.,289.84,0.28984
